condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,40,0,0,0,0.38376000000000016
ours,40,6553,4096,1,0.5054232004574687
ours,40,13107,12288,3,0.7800402899362497
ours,40,19660,16384,4,0.9222209002615088
ours,40,26214,24576,6,1.2213374400405852
ours,40,32768,32768,8,1.4868394758123862
ours,40,39321,36864,9,1.5935316948608582
ours,40,45875,45056,11,1.7593649158574232
ours,40,52428,49152,12,1.8208862768730185
ours,40,58982,57344,14,1.9044687437517749
ours,40,65536,65536,16,1.9549977111390173
ours,40,72089,69632,17,1.9626596304195918
ours,40,78643,77824,19,1.9626655972363838
ours,40,85196,83968,20,1.962665598097056
ours,40,91750,88064,21,1.9626655987652644
ours,40,98304,96256,23,1.9626655992675621
ours,40,104857,100352,24,1.9626655993913995
ours,40,111411,110592,26,1.9626655994747757
ours,40,117964,114688,27,1.9626655995356919
ours,40,124518,118784,28,1.9626655995890339
ours,40,131072,129024,30,1.9626655996307192
ours,41,0,0,0,0.38376000000000016
ours,41,6553,4096,1,0.5007590144564172
ours,41,13107,12288,3,0.7875493144211954
ours,41,19660,16384,4,0.9300635864226268
ours,41,26214,24576,6,1.2272408559469035
ours,41,32768,32768,8,1.5027978225561234
ours,41,39321,36864,9,1.6130736006760091
ours,41,45875,45056,11,1.777771863824058
ours,41,52428,49152,12,1.837001400086269
ours,41,58982,53248,13,1.8819346596209
ours,41,65536,63488,15,1.9163437373908203
ours,41,72089,71680,17,1.961315133624126
ours,41,78643,77824,18,1.961315133624126
ours,41,85196,81920,19,1.9626648125048105
ours,41,91750,90112,21,1.9626655977896459
ours,41,98304,96256,22,1.9626655977896459
ours,41,104857,104448,24,1.9626655989625184
ours,41,111411,108544,25,1.9626655991825468
ours,41,117964,114688,26,1.9626655991825468
ours,41,124518,120832,27,1.962665599270107
ours,41,131072,131072,29,1.962665599382351
ours,42,0,0,0,0.38375999999999993
ours,42,6553,4096,1,0.49610144170649995
ours,42,13107,12288,3,0.772978016496972
ours,42,19660,16384,4,0.9207043274374889
ours,42,26214,24576,6,1.233065634169386
ours,42,32768,32768,8,1.4936995917506823
ours,42,39321,36864,9,1.6046976920208902
ours,42,45875,45056,11,1.7689240447307673
ours,42,52428,49152,12,1.8308562014793688
ours,42,58982,57344,14,1.915612889639926
ours,42,65536,65536,16,1.9587905684923088
ours,42,72089,71680,17,1.9626603998697958
ours,42,78643,75776,18,1.9626655906372679
ours,42,85196,81920,19,1.9626655906372679
ours,42,91750,88064,20,1.9626655959966925
ours,42,98304,94208,21,1.9626655959966925
ours,42,104857,104448,23,1.9626655984403134
ours,42,111411,110592,24,1.9626655984403134
ours,42,117964,114688,25,1.962665598907967
ours,42,124518,118784,26,1.962665599161014
ours,42,131072,131072,28,1.9626655993302713
sampled,40,0,0,0,0.38376000000000016
sampled,40,6553,4096,1,0.5081124964709997
sampled,40,13107,12288,3,0.7843922424430513
sampled,40,19660,16384,4,0.9207039964492176
sampled,40,26214,24576,6,1.2251364255722381
sampled,40,32768,32768,8,1.4948147377754606
sampled,40,39321,36864,9,1.6032392612821575
sampled,40,45875,45056,11,1.7647269454686931
sampled,40,52428,49152,12,1.8234036073203617
sampled,40,58982,57344,14,1.9005427770114338
sampled,40,65536,65536,16,1.9502789707025714
sampled,40,72089,69632,17,1.9626489233084379
sampled,40,78643,77824,19,1.9626655969941667
sampled,40,85196,83968,20,1.9626655980998664
sampled,40,91750,88064,21,1.9626655988491617
sampled,40,98304,96256,23,1.9626655993275113
sampled,40,104857,100352,24,1.9626655994465603
sampled,40,111411,110592,26,1.962665599512439
sampled,40,117964,114688,27,1.9626655995640683
sampled,40,124518,118784,28,1.9626655996150901
sampled,40,131072,129024,30,1.962665599658286
sampled,41,0,0,0,0.38376000000000016
sampled,41,6553,4096,1,0.49901199139423547
sampled,41,13107,12288,3,0.7852304843867887
sampled,41,19660,16384,4,0.9258948563309427
sampled,41,26214,24576,6,1.214275023157587
sampled,41,32768,32768,8,1.5048595849453488
sampled,41,39321,36864,9,1.6188408093797204
sampled,41,45875,45056,11,1.7866820000534678
sampled,41,52428,49152,12,1.8391793707387716
sampled,41,58982,53248,13,1.8881375151219204
sampled,41,65536,63488,15,1.9174087698248519
sampled,41,72089,71680,17,1.9626517578298468
sampled,41,78643,77824,18,1.9626517578298468
sampled,41,85196,81920,19,1.9626655743197823
sampled,41,91750,90112,21,1.962665598244392
sampled,41,98304,96256,22,1.962665598244392
sampled,41,104857,104448,24,1.9626655990804163
sampled,41,111411,108544,25,1.9626655992499764
sampled,41,117964,114688,26,1.9626655992499764
sampled,41,124518,120832,27,1.9626655993258637
sampled,41,131072,131072,29,1.9626655994225688
sampled,42,0,0,0,0.38375999999999993
sampled,42,6553,4096,1,0.49527368069569955
sampled,42,13107,12288,3,0.7748050908588626
sampled,42,19660,16384,4,0.927969658432473
sampled,42,26214,24576,6,1.2386359744229174
sampled,42,32768,32768,8,1.4962553200816373
sampled,42,39321,36864,9,1.601668628369117
sampled,42,45875,45056,11,1.7693961025472713
sampled,42,52428,49152,12,1.8315465833790792
sampled,42,58982,57344,14,1.9183744993049818
sampled,42,65536,65536,16,1.958606441778994
sampled,42,72089,71680,17,1.9626490051076042
sampled,42,78643,75776,18,1.9626655820041767
sampled,42,85196,81920,19,1.9626655820041767
sampled,42,91750,88064,20,1.9626655943851123
sampled,42,98304,94208,21,1.9626655943851123
sampled,42,104857,104448,23,1.9626655980984775
sampled,42,111411,110592,24,1.9626655980984775
sampled,42,117964,114688,25,1.962665598734936
sampled,42,124518,118784,26,1.962665599110959
sampled,42,131072,131072,28,1.962665599320141
pg,40,0,0,0,0.38376000000000016
pg,40,6553,6144,6,0.72956616082831
pg,40,13107,12288,12,1.1516471463482973
pg,40,19660,19456,19,1.5748956697500442
pg,40,26214,25600,25,1.7870137872574916
pg,40,32768,32768,32,1.8913563589737126
pg,40,39321,38912,38,1.92476369588654
pg,40,45875,45056,44,1.9393501884422348
pg,40,52428,52224,51,1.9472092111734753
pg,40,58982,58368,57,1.9506500122052002
pg,40,65536,65536,64,1.9530162982609287
pg,40,72089,71680,70,1.954324777660155
pg,40,78643,77824,76,1.9552668938247713
pg,40,85196,84992,83,1.9561026808668458
pg,40,91750,91136,89,1.956675140405849
pg,40,98304,98304,96,1.9572246126078547
pg,40,104857,104448,102,1.9576274973891488
pg,40,111411,110592,108,1.957978280172118
